sent_id,observation_id,common_name,text,SPECIES,BEHAVIOR,HABITAT,notes,annotator,confidence
227692317_0,227692317,White-tailed Deer,"Halpata Tastanaki Preserve, Dunnellon, Marion County, FL White-tailed Deer (Odocoileus virginianus) observed at Halpata Tastanaki Preserve Trail, Dunnellon, FL, US.",Odocoileus virginianus; White-tailed Deer,observed,Trail,,,
254926476_0,254926476,Tamanend's Bottlenose Dolphin,"Pod of dolphins 1 mile west of Mayport village on the St John s river Tamanend's Bottlenose Dolphin (Tursiops erebennus) observed at Timucuan, Jacksonville, FL, US.",Bottlenose Dolphin,observed,river,,,
203878721_0,203878721,Common Raccoon,"PP 107, DOR, decent condition but not fresh and body very fully stiff, moved off of road Common Raccoon (Procyon lotor) observed at North Key Largo, FL 33037, USA.",Common Raccoon; Procyon lotor,observed,road,,,
213292339_0,213292339,Marsh Rabbit,"City Nature Challenge 2024, South Florida - Day 4 Marsh Rabbit (Sylvilagus palustris) observed at Green Cay Nature Center & Wetlands, Boynton Beach, FL 33437, USA.",Marsh Rabbit; Sylvilagus palustris,observed,Beach,,,
332599319_0,332599319,Virginia Opossum,"Opossum being harassed by Caraca, in turn harassed by a hawk, probably red shoulder Virginia Opossum (Didelphis virginiana) observed at Lake Placid, FL 33852, USA.",Virginia Opossum; Opossum; Didelphis virginiana,observed,Lake,,,
191057287_0,191057287,North American River Otter,"Observed by Jeya Iyadurai in the pond south of Graham Hall and north of Museum Dr North American River Otter (Lontra canadensis) observed at Gainesville, FL, USA.",North American River Otter; Lontra canadensis,Observed; observed,pond,,,
218693469_0,218693469,Common Raccoon,"Lake Monroe Conservation Area, LB, Volusia County, FL, May 2024 Common Raccoon (Procyon lotor) observed at Lake Monroe Conservation Area, Volusia County, FL, USA.",Common Raccoon; Procyon lotor,observed,Lake,,,
153986962_0,153986962,North American River Otter,"Large otter ran out of the reeds Almost gave me a heart attack North American River Otter (Lontra canadensis) observed at Lake Davis/Greenwood, Orlando, FL, USA.",North American River Otter; otter; Lontra canadensis,observed,Lake,,,
159776938_0,159776938,Marsh Rabbit,"- See additional photo - City Nature Challenge 2023, South Florida Marsh Rabbit (Sylvilagus palustris) observed at Wakodahatchee Wetlands, Delray Beach, FL, USA.",Marsh Rabbit; Sylvilagus palustris,observed,Beach,,,
197641443_0,197641443,Eastern Bobcat,"Late afternoon at a trail that squirrels and raccoons use to get to bird feeder Eastern Bobcat (Lynx rufus rufus) observed at Dockside Pl, Daytona Beach, FL, US.",Bobcat; Lynx rufus,observed,Beach; trail,,,
199383467_0,199383467,White-tailed Deer,"Earliest dropped fawn recorded in Holeyland WMA, is seen walking on 12-27-2023 White-tailed Deer (Odocoileus virginianus) observed at Palm Beach County, FL, USA.",Odocoileus virginianus; White-tailed Deer,recorded; walking; observed; seen,Beach,,,
204636361_0,204636361,White-tailed Deer,"Locations approximate- 3-in-1 trail and a short portion of Long Pine Key trail White-tailed Deer (Odocoileus virginianus) observed at Miami-Dade County, FL, USA.",Odocoileus virginianus; White-tailed Deer,observed,trail,,,
204400998_0,204400998,Virginia Opossum,"PP224, DOR, not fresh body stiff, only head is in bad condition, moved off of road Virginia Opossum (Didelphis virginiana) observed at Key Largo, FL 33037, USA.",Virginia Opossum; Didelphis virginiana,observed,road,,,
206615908_0,206615908,North American River Otter,"Was found jumping and swimming together in a drainage ditch North American River Otter (Lontra canadensis) observed at S Roscoe Blvd, Ponte Vedra Beach, FL, US.",North American River Otter; Lontra canadensis,swimming; observed; jumping; found,Beach; ditch,,,
205658322_0,205658322,Mexican Long-nosed Armadillo,"Came out of bushes on back porch at night looking for insects Mexican Long-nosed Armadillo (Dasypus mexicanus) observed at Seminole Rd, Atlantic Beach, FL, US.",Mexican Long-nosed Armadillo,observed,Beach,,,
240124658_0,240124658,American Black Bear,"Early morning bear tracks on Primitive Campground road, Highlands Hammock State Park American Black Bear (Ursus americanus) observed at Sebring, FL 33875, USA.",Black Bear; bear,observed,Park; road; Hammock,,,
168885968_0,168885968,Coyote,"two different coyotes caught strolling one after another through our yard on motion sensor camera Coyote (Canis latrans) observed at Shell Rd, Milton, FL, US.",Coyote; Canis latrans,observed,yard,,,
217914419_0,217914419,Hispid Cotton Rat,"total of 6 individuals seen, all detected in the neighborhood canals on western edge of park Hispid Cotton Rat (Sigmodon hispidus) observed at Davie, FL, USA.",Sigmodon hispidus; Hispid Cotton Rat,observed; seen,park; neighborhood,,,
191390399_1,191390399,Seminole Bat,"Also check out the gator out in the background of image 1 Seminole Bat (Lasiurus seminolus) observed at Paynes Prairie Preserve State Park, Micanopy, FL, US.",Bat,observed,Paynes Prairie; Park,,,
196432755_0,196432755,Common Raccoon,"First impression was raccoon, but now I m wondering about otter Common Raccoon (Procyon lotor) observed at Florida Gulf Coast University, Fort Myers, FL, US.",Common Raccoon; otter; raccoon; Procyon lotor,observed,Gulf,,,
201208448_0,201208448,Wild Boar,"Wild Hog (Invasive); and destruction caused by; retreating here on right into grasses Wild Boar (Sus scrofa) observed at La Chua Trail, Gainesville, FL, USA.",Sus scrofa; Wild Boar,observed,Trail,,,
254565468_2,254565468,Mexican Free-tailed Bat,"Easily a couple hundred plus here...saw many out hunting for insects as well Mexican Free-tailed Bat (Tadarida brasiliensis) observed at Union Park, FL, USA.",Bat,hunting; observed,Park,,,
162886592_0,162886592,Florida White-tailed Deer,"two grazing with Cattle Egrets Florida White-tailed Deer (Odocoileus virginianus seminolus) observed at Aerojet Rd./Lucky Hammock, Homestead, FL 33034, USA.",Odocoileus virginianus; White-tailed Deer,grazing; observed,Hammock,,,
223438707_0,223438707,White-tailed Deer,"Saw two running into the bushes White-tailed Deer (Odocoileus virginianus) observed at Chinsegut Wildlife and Environmental Area Trail, Brooksville, FL, US.",Odocoileus virginianus; White-tailed Deer,observed; running,Trail,,,
165021003_0,165021003,Bobcat,Waiting to eat a deer carcass on the side of the road along with 15 black vultures Bobcat (Lynx rufus) observed at Merritt Island National Wildlife Refuge.,Bobcat; Lynx rufus; deer,observed,road,,,
176470241_0,176470241,North American River Otter,"Catching and eating these pleco-like fish that were in high abundance in this canal North American River Otter (Lontra canadensis) observed at Florida, US.",North American River Otter; Lontra canadensis,observed; eating,canal,,,
209667039_0,209667039,Common Raccoon,"PP228, DOR, not very fresh, very stiff, but in good condition, moved off of road Common Raccoon (Procyon lotor) observed at North Key Largo, FL 33037, USA.",Common Raccoon; Procyon lotor,observed,road,,,
221398905_0,221398905,Florida Manatee,"Everglades National Park - Flamingo Marina Florida Manatee (Trichechus manatus latirostris) observed at Everglades National Park, Monroe County, US-FL, US.",Florida Manatee; Trichechus manatus latirostris,observed,Everglades; Park,,,
224534683_0,224534683,Florida Manatee,"At least 3 in the harbor - k says he saw 6 Florida Manatee (Trichechus manatus latirostris) observed at Everglades National Park, Monroe County, US-FL, US.",Florida Manatee; Trichechus manatus latirostris,observed,Everglades; Park,,,
249589128_4,249589128,Eastern Fox Squirrel,"Eastern Fox Squirrel (Sciurus niger) observed at Florida, Hernando, Chassahowitzka Wildlife and Environmental Area, Gopher Road at Thunder's Crossing Road.",Gopher; Fox Squirrel; Sciurus niger,Crossing; observed,Road,,,
148152976_0,148152976,West Indian Manatee,"Manatee with Crocodile at the Flamingo, FL marina West Indian Manatee (Trichechus manatus) observed at Everglades National Park, Monroe County, US-FL, US.",West Indian Manatee; Trichechus manatus; Manatee,observed,Everglades; Park,,,
184699760_0,184699760,White-tailed Deer,"Stone Memorial Saint Joseph Peninsula State Park White-tailed Deer (Odocoileus virginianus) observed at 8899 Cape San Blas Rd, Port St Joe, FL 32456, USA.",Odocoileus virginianus; White-tailed Deer,observed,Park,,,
207644210_0,207644210,Wild Boar,"There is also a great blue heron and alligator in the shot lol Wild Boar (Sus scrofa) observed at Paynes Prairie Preserve State Park, Gainesville, FL, US.",Sus scrofa; Wild Boar,observed,Paynes Prairie; Park,,,
217914429_0,217914429,Hispid Cotton Rat,"total of 6 individuals seen, detected in the neighborhood canals on western edge of park Hispid Cotton Rat (Sigmodon hispidus) observed at Davie, FL, USA.",Sigmodon hispidus; Hispid Cotton Rat,observed; seen,park; neighborhood,,,
248477523_0,248477523,White-tailed Deer,"Highlands Hammock State Park White-tailed Deer (Odocoileus virginianus) observed at Highlands Hammock State Park, 5931 Hammock Rd, Sebring, FL 33872, USA.",Odocoileus virginianus; White-tailed Deer,observed,Park; Hammock,,,
314163818_0,314163818,Common Raccoon,"Swamp Racoons of Circle B Bar Reserve watching a nesting softshell turtle lay her eggs Common Raccoon (Procyon lotor) observed at Lakeland, FL 33803, USA.",Common Raccoon; Procyon lotor,nesting; observed,Swamp,,,
175409088_0,175409088,West Indian Manatee,"Flamingo, Everglades National Park, Florida, USA West Indian Manatee (Trichechus manatus) observed at Everglades National Park, Monroe County, US-FL, US.",Trichechus manatus; West Indian Manatee,observed,Everglades; Park,,,
194235949_0,194235949,Common Raccoon,"Tail going into woods behind invasive atresia Common Raccoon (Procyon lotor) observed at Cofrin Nature Park, 4810 NW 8th Ave, Gainesville, FL 32605, USA.",Common Raccoon; Procyon lotor,observed,Park,,,
215510524_0,215510524,Common Raccoon,"PP144, DOR, relatively fresh and still soft, good condition, moved off of road Common Raccoon (Procyon lotor) observed at North Key Largo, FL 33037, USA.",Common Raccoon; Procyon lotor,observed,road,,,
175673066_0,175673066,White-tailed Deer,"Highlands Hammock State Park, Sebring, Highlands County, FL White-tailed Deer (Odocoileus virginianus) observed at Florida State Parks, Sebring, FL, US.",Odocoileus virginianus; White-tailed Deer,observed,Park; Hammock,,,
202542758_0,202542758,Tamanend's Bottlenose Dolphin,"Common Bottle-nosed Dolphin - Blue Cypress Park Tamanend's Bottlenose Dolphin (Tursiops erebennus) observed at Blue Cypress Park, Jacksonville, FL, USA.",Bottlenose Dolphin; Dolphin,observed,Park,,,
208809950_0,208809950,Common Raccoon,"A dozen or so in this small area, taking food left for feral cats Common Raccoon (Procyon lotor) observed at Black Point Jetty Trail, Homestead, FL, US.",Common Raccoon; Procyon lotor,observed,Trail,,,
152767019_0,152767019,Eastern Cottontail,"Small rabbit, white fluffy tail, big ears, light brown face Eastern Cottontail (Sylvilagus floridanus) observed at Tampa Bay, Saint Petersburg, FL, US.",rabbit; Sylvilagus floridanus; Eastern Cottontail,observed,Tampa Bay,,,
154175963_0,154175963,Marsh Rabbit,I ve observed this rabbit only in the same 30 ft length of shore along the northwestern corner of the main runoff control pond in TGM Bay Isle Phase 1.,rabbit,observed,pond; shore; Bay,,,
183116831_1,183116831,Atlantic Spotted Dolphin,"Please see Kyles observation, he got a better photo: Atlantic Spotted Dolphin (Stenella frontalis) observed at North Atlantic Ocean, Manalapan, FL, US.",Stenella frontalis; Atlantic Spotted Dolphin,observed,Ocean,,,
221010705_0,221010705,Marsh Rabbit,"Found near pond with bonus mouse (2nd time mouse seen grazing with rabbits) Marsh Rabbit (Sylvilagus palustris) observed at Gainesville, FL 32601, USA.",mouse; Marsh Rabbit; Sylvilagus palustris,Found; grazing; observed; seen,pond,,,
176278521_0,176278521,Eastern Black Bear,"Mamma with cub crossing street from Buck Lake towards St Johns river Eastern Black Bear (Ursus americanus americanus) observed at Mims, FL 32754, USA.",Black Bear,crossing; observed,St Johns river; Lake,,,
190114698_0,190114698,Southern Fox Squirrel,"Three together in this location and one across the street Southern Fox Squirrel (Sciurus niger niger) observed at Lake Pisgah Dr, Tallahassee, FL, US.",Fox Squirrel; Sciurus niger,observed,Lake,,,
195496060_0,195496060,Marsh Rabbit,"You can see it jump if you scroll through the photos in order. camera set up near a creek Marsh Rabbit (Sylvilagus palustris) observed at Florida, US.",Marsh Rabbit; Sylvilagus palustris,observed,creek,,,
206857155_0,206857155,Florida Manatee,"Adult and calf (?) foraging on grass on the edge of a canal Florida Manatee (Trichechus manatus latirostris) observed at Miami-Dade County, US-FL, US.",Florida Manatee; Trichechus manatus latirostris,observed; foraging,canal,,,
259161637_0,259161637,North American River Otter,"Photo by Susan Marino North American River Otter (Lontra canadensis) observed at Crosby Sanctuary, 427 Aquarius Concourse, Orange Park, FL 32073, USA.",North American River Otter; Lontra canadensis,observed,Park,,,
148512738_0,148512738,Marsh Rabbit,"Not much of a photo but only two sightings of this distinctive rabbit Marsh Rabbit (Sylvilagus palustris) observed at S Jog Rd, Delray Beach, FL, US.",rabbit; Marsh Rabbit; Sylvilagus palustris,observed,Beach,,,
186357823_0,186357823,Mexican Long-nosed Armadillo,"found eating, it was very large in size, cool weather inside woods but humd Mexican Long-nosed Armadillo (Dasypus mexicanus) observed at trout creek.",Mexican Long-nosed Armadillo,observed; eating; found,creek,,,
194105321_0,194105321,Mexican Long-nosed Armadillo,"Weird lesions on this armadillo Mexican Long-nosed Armadillo (Dasypus mexicanus) observed at Paynes Prairie Preserve State Park, Gainesville, FL, US.",Mexican Long-nosed Armadillo; armadillo,observed,Paynes Prairie; Park,,,
209749801_0,209749801,Eastern Cottontail,"City Nature Challenge 2024, South Florida - Day 1 - My backyard Eastern Cottontail (Sylvilagus floridanus) observed at (west) Boynton Beach, FL, USA.",Sylvilagus floridanus; Eastern Cottontail,observed,backyard; Beach,,,
146537190_2,146537190,Eastern Bobcat,"Probably shock more than anything else killed it. :( Eastern Bobcat (Lynx rufus rufus) observed at Big Cypress National Preserve, Immokalee, FL, US.",Bobcat; Lynx rufus,observed,Big Cypress,,,
152210071_0,152210071,Eastern Mole,"Found dead on driveway, likely a victim of neighborhood cats Eastern Mole (Scalopus aquaticus) observed at Fleming Fitch Grant, Holly Hill, FL, USA.",Eastern Mole; Scalopus aquaticus,Found; observed,neighborhood,,,
157771871_0,157771871,Eastern Cottontail,"City Nature Challenge 2023, South Florida Eastern Cottontail (Sylvilagus floridanus) observed at Okeeheelee Nature Trails, West Palm Beach, FL, USA.",Sylvilagus floridanus; Eastern Cottontail,observed,Beach,,,
191283454_0,191283454,Common Raccoon,"Common Raccoon DOR 11:30am Mile Marker 2, good condition, removed from road Common Raccoon (Procyon lotor) observed at Key Largo, Key Largo, FL, US.",Common Raccoon; Procyon lotor,observed,road,,,
228646438_0,228646438,Common Bottlenose Dolphin,"Atlantic Bottlenose in Coot Bay, Everglades National Park Common Bottlenose Dolphin (Tursiops truncatus truncatus) observed at Tarpon Creek, FL, US.",Tursiops truncatus; Common Bottlenose Dolphin,observed,Creek; Everglades; Bay; Park,,,
171872858_0,171872858,White-tailed Deer,"Three Rivers State Park, Sneads, Jackson County, FL White-tailed Deer (Odocoileus virginianus) observed at Three Rivers State Park, Sneads, FL, US.",Odocoileus virginianus; White-tailed Deer,observed,Park,,,
200860392_0,200860392,Hispid Cotton Rat,"was about squirrel sized? minus the tail Hispid Cotton Rat (Sigmodon hispidus) observed at Paynes Prairie Preserve State Park, Gainesville, FL, US.",Hispid Cotton Rat; Sigmodon hispidus; squirrel,observed,Paynes Prairie; Park,,,
201130568_0,201130568,Eastern Cottontail,"Malabar Scrub Sanctuary Eastern Cottontail (Sylvilagus floridanus) observed at Malabar Scrub Sanctuary, Malabar Woods Blvd, Malabar, FL 32950, USA.",Sylvilagus floridanus; Eastern Cottontail,observed,Scrub,,,
224062439_0,224062439,Florida Manatee,"At the Ellie Schiller Homosassa Springs Wildlife State Park - not captive Florida Manatee (Trichechus manatus latirostris) observed at Florida, US.",Florida Manatee; Trichechus manatus latirostris,observed,Park,,,
251371196_0,251371196,Florida Cottontail,"Sandsprit Park, Port Salerno, Martin County, FL Florida Cottontail (Sylvilagus floridanus floridanus) observed at SE St Lucie Blvd, Stuart, FL, US.",Sylvilagus floridanus; Cottontail,observed,Park,,,
167685884_2,167685884,Eastern Cottontail,"Surprising discovery as the area is very urbanized Eastern Cottontail (Sylvilagus floridanus) observed at E County Road 466, The Villages, FL, US.",Sylvilagus floridanus; Eastern Cottontail,observed,Road,,,
175674168_0,175674168,North American River Otter,"2 spotted together hunting and eating in the canal North American River Otter (Lontra canadensis) observed at Shady Hollow Blvd W, Naples, FL, US.",North American River Otter; Lontra canadensis,spotted; hunting; observed; eating,canal,,,
203313757_0,203313757,Tamanend's Bottlenose Dolphin,"Dolphins doing dolphin things near the shore Tamanend's Bottlenose Dolphin (Tursiops erebennus) observed at N Atlantic Ave, Daytona Beach, FL, US.",dolphin; Bottlenose Dolphin,observed,shore; Beach,,,
255256656_0,255256656,West Indian Manatee,"4-5 individuals over the course of 30 min West Indian Manatee (Trichechus manatus) observed at Everglades National Park, Monroe County, US-FL, US.",Trichechus manatus; West Indian Manatee,observed,Everglades; Park,,,
257425846_0,257425846,Florida Manatee,"Guy Bradley Trail - Everglades NP Florida Manatee (Trichechus manatus latirostris) observed at Everglades National Park, Monroe County, US-FL, US.",Florida Manatee; Trichechus manatus latirostris,observed,Trail; Everglades; Park,,,
260251449_0,260251449,Florida Manatee,"Consuming something at this drain Florida Manatee (Trichechus manatus latirostris) observed at Everglades National Park, Monroe County, US-FL, US.",Florida Manatee; Trichechus manatus latirostris,observed,Everglades; Park,,,
161415459_0,161415459,Marsh Rabbit,Was observed during my walk for the Global Big Day. eBird Checklist can be found here: Marsh Rabbit (Sylvilagus palustris) observed at Lake Park.,Marsh Rabbit; Sylvilagus palustris,observed; found,Lake; Park,,,
185121293_0,185121293,Eastern Cottontail,"Royal Palm Beach Pines Natural Area, PBC, FL Eastern Cottontail (Sylvilagus floridanus) observed at Royal Palm Beach Pines Natural Area, FL, USA.",Sylvilagus floridanus; Eastern Cottontail,observed,Beach,,,
186001876_0,186001876,Southeastern River Otter,"Male roadkilled river otter Southeastern River Otter (Lontra canadensis lataxina) observed at Okaloacoochee Slough State Forest, Labelle, FL, US.",Lontra canadensis; River Otter; river otter,observed,Slough; Forest,,,
194924564_0,194924564,Common Bottlenose Dolphin,"Swimming down the canal Common Bottlenose Dolphin (Tursiops truncatus) observed at Tigertail Beach, 430 Hernando Dr, Marco Island, FL 34145, USA.",Tursiops truncatus; Common Bottlenose Dolphin,observed; Swimming,Beach; canal,,,
200198637_0,200198637,Common Bottlenose Dolphin,"Dolphin moving quickly north up the river along the bank Common Bottlenose Dolphin (Tursiops truncatus) observed at W Seventh Ave, Tampa, FL, US.",Tursiops truncatus; Common Bottlenose Dolphin; Dolphin,observed,river,,,
241634950_0,241634950,Hispid Cotton Rat,"captured and released during state-sponsored scientific study Hispid Cotton Rat (Sigmodon hispidus) observed at Ponte Vedra Beach, FL 32082, USA.",Sigmodon hispidus; Hispid Cotton Rat,observed,Beach,,,
174984164_0,174984164,Florida Manatee,"Group of 4 out hunting together Florida Manatee (Trichechus manatus latirostris) observed at Everglades National Park, Monroe County, US-FL, US.",Florida Manatee; Trichechus manatus latirostris,hunting; observed,Everglades; Park,,,
212926580_0,212926580,Marsh Rabbit,"City Nature Challenge 2024, South Florida - Day 3 Marsh Rabbit (Sylvilagus palustris) observed at Wakodahatchee Wetlands, Delray Beach, FL, USA.",Marsh Rabbit; Sylvilagus palustris,observed,Beach,,,
214904089_0,214904089,Mexican Long-nosed Armadillo,"Found on Gainesville Hawthorne trail rummaging through leaves Mexican Long-nosed Armadillo (Dasypus mexicanus) observed at Gainesville, FL, USA.",Mexican Long-nosed Armadillo,Found; observed,trail,,,
233487073_0,233487073,Florida Manatee,"Screenshots from a video - several individuals seen, Ichetucknee River Florida Manatee (Trichechus manatus latirostris) observed at Florida, US.",Florida Manatee; Trichechus manatus latirostris,observed; seen,River,,,
195695802_0,195695802,North American River Otter,"Pretty terrible photos but it s identifiable North American River Otter (Lontra canadensis) observed at Lake Davis/Greenwood, Orlando, FL, USA.",North American River Otter; Lontra canadensis,observed,Lake,,,
336594879_3,336594879,Black Rat,"Comment if you would like to see Black Rat (Rattus rattus) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Rat,observed,Park; Hammock,,,
211595035_0,211595035,Key Deer,"Silhouette of a key deer near the coastline in Big Pine Key Key Deer (Odocoileus virginianus clavium) observed at Big Pine Key, FL 33043, USA.",Key Deer; key deer; Odocoileus virginianus clavium,observed,coastline,,,
147731275_0,147731275,Mexican Long-nosed Armadillo,"Was adorable and looking for food Mexican Long-nosed Armadillo (Dasypus mexicanus) observed at Lettuce Lake Conservation Park, Tampa, FL, US.",Mexican Long-nosed Armadillo,observed,Lake; Park,,,
196769946_0,196769946,Sherman's Fox Squirrel,"Sherman s Fox Squirrel based upon geographic location Sherman's Fox Squirrel (Sciurus niger shermani) observed at Myakka City, FL 34251, USA.",Fox Squirrel; Sciurus niger,observed,Myakka,,,
254363484_0,254363484,Tamanend's Bottlenose Dolphin,"Noted two possible juvenile males and odd turning behavior Tamanend's Bottlenose Dolphin (Tursiops erebennus) observed at Matanzas River, St.",Bottlenose Dolphin,observed,River,,,
257065948_0,257065948,Marsh Rabbit,"I saw this cottontail rabbit that was with his family I think he is a male Marsh Rabbit (Sylvilagus palustris) observed at Bay Lake, FL, USA.",rabbit; Marsh Rabbit; Sylvilagus palustris; cottontail,observed,Lake; Bay,,,
146175978_0,146175978,West Indian Manatee,"Silver Springs River, Silver Springs State Park, Florida, USA West Indian Manatee (Trichechus manatus) observed at Marion County, US-FL, US.",Trichechus manatus; West Indian Manatee,observed,River; Park,,,
188060163_0,188060163,Marsh Rabbit,"Munching on grass in the courtyard at the hotel Marsh Rabbit (Sylvilagus palustris) observed at North Hutchinson Island, Vero Beach, FL, US.",Marsh Rabbit; Sylvilagus palustris,observed,Beach,,,
189660207_0,189660207,Hispid Cotton Rat,"Photo by Shawn McKnight Being eaten on road by Indigo Snake Hispid Cotton Rat (Sigmodon hispidus) observed at SW 298th St, Newberry, FL, US.",Sigmodon hispidus; Hispid Cotton Rat,observed,road,,,
193562333_0,193562333,Mexican Long-nosed Armadillo,"Armadillo in Highlands Hammock State Park Mexican Long-nosed Armadillo (Dasypus mexicanus) observed at Florida State Parks, Sebring, FL, US.",Armadillo; Mexican Long-nosed Armadillo,observed,Park; Hammock,,,
241634214_0,241634214,Northeastern Marsh Rice Rat,"captured and released during scientific study Northeastern Marsh Rice Rat (Oryzomys palustris) observed at Ponte Vedra Beach, FL 32082, USA.",Rat,observed,Beach; Marsh,,,
260758116_0,260758116,Eastern Cottontail,"Eastern Cottontail observed in our front yard at Edgewater Eastern Cottontail (Sylvilagus floridanus) observed at Charlotte County, FL, USA.",Sylvilagus floridanus; Eastern Cottontail,observed,yard,,,
170886626_0,170886626,White-tailed Deer,"Tosohatchee Wildlife Management Area White-tailed Deer (Odocoileus virginianus) observed at 3365 Taylor Creek Rd, Christmas, FL 32709, USA.",Odocoileus virginianus; White-tailed Deer,observed,Creek,,,
186997998_5,186997998,Marsh Rabbit,"Mangrove swamp sandy island Reference: Marsh Rabbit (Sylvilagus palustris) observed at South Lake Howard Nature Park, Winter Haven, FL, US.",Marsh Rabbit; Sylvilagus palustris,observed,Mangrove; Lake; swamp; Park,,,
204974911_0,204974911,Common Bottlenose Dolphin,"Some specie of bottlenose dolphin Common Bottlenose Dolphin (Tursiops truncatus) observed at Flamingo / Lummus, Miami Beach, FL 33139, USA.",bottlenose dolphin; Common Bottlenose Dolphin; Tursiops truncatus,observed,Beach,,,
215576106_0,215576106,Florida Manatee,"Solo manatee hanging out on the shore side of the breakwater pier Florida Manatee (Trichechus manatus latirostris) observed at Florida, US.",manatee; Florida Manatee; Trichechus manatus latirostris,observed,shore,,,
145630349_0,145630349,Common Bottlenose Dolphin,"Group of 3 dolphins off the shore of Anclote park Common Bottlenose Dolphin (Tursiops truncatus) observed at North Atlantic Ocean, FL, US.",Tursiops truncatus; Common Bottlenose Dolphin,observed,shore; park; Ocean,,,
149519063_0,149519063,Florida Raccoon,"Good condition Florida Raccoon (Procyon lotor elucus) observed at Dagny Johnson Key Largo Hammock Botanical State Park, Key Largo, FL, US.",Raccoon; Procyon lotor,observed,Park; Hammock,,,
159776617_0,159776617,Marsh Rabbit,"- City Nature Challenge 2023, South Florida Marsh Rabbit (Sylvilagus palustris) observed at Wakodahatchee Wetlands, Delray Beach, FL, USA.",Marsh Rabbit; Sylvilagus palustris,observed,Beach,,,
197509319_0,197509319,Hispid Cotton Rat,"DOR, possibly Sigmodon hispidus or black rat, moved off road Hispid Cotton Rat (Sigmodon hispidus) observed at Miami-Dade County, FL, USA.",rat; Sigmodon hispidus; Hispid Cotton Rat,observed,road,,,
198218536_0,198218536,North American River Otter,"Seconds-old River Otter scat North American River Otter (Lontra canadensis) observed at Florida Gulf Coast University, Fort Myers, FL, US.",North American River Otter; Lontra canadensis; River Otter,observed,Gulf,,,
201415430_0,201415430,Mexican Long-nosed Armadillo,"Obviously not pleased about being perceived Mexican Long-nosed Armadillo (Dasypus mexicanus) observed at Winter Lake Rd, Lakeland, FL, US.",Mexican Long-nosed Armadillo,observed,Lake,,,
149373815_0,149373815,Domestic Cat,"Was about 30ft from a major road... was probably hit by a car Domestic Cat (Felis catus) observed at Crafts, Coral Gables, FL 33134, USA.",Felis catus; Domestic Cat,observed,road,,,
208814028_0,208814028,Gray Fox,"This was taken from a video so quality is a little fuzzy Gray Fox (Urocyon cinereoargenteus) observed at SW 190th St, Cutler Bay, FL, US.",Gray Fox; Urocyon cinereoargenteus,observed,Bay,,,
215230254_0,215230254,Southeastern Pocket Gopher,"All along SR46 both sides of the road continuously Southeastern Pocket Gopher (Geomys pinetis) observed at Bint Ibn Ln, Sorrento, FL, US.",Geomys pinetis; Southeastern Pocket Gopher,observed,road,,,
247979855_0,247979855,Wild Boar,"spotted during a field trip Wild Boar (Sus scrofa) observed at Seven Wetlands (Se7en Wetlands), 500 W Carter Rd, Lakeland, FL 33813, USA.",Sus scrofa; Wild Boar,spotted; observed,field,,,
254806296_0,254806296,Florida Manatee,"Chomping on a palm that had fallen into the river Florida Manatee (Trichechus manatus latirostris) observed at Volusia County, US-FL, US.",Florida Manatee; Trichechus manatus latirostris,observed,river,,,
148359317_0,148359317,North American River Otter,"My friend and I BOTH saw it North American River Otter (Lontra canadensis) observed at Ichetucknee Springs State Park, O Brien, FL, US.",North American River Otter; Lontra canadensis,observed,Park,,,
182245263_0,182245263,North American River Otter,"Group of 5 otters chasing a limpkin North American River Otter (Lontra canadensis) observed at Lake Hollingsworth Dr, Lakeland, FL, US.",North American River Otter; Lontra canadensis,chasing; observed,Lake,,,
186009828_0,186009828,Big Cypress Fox Squirrel,"It really sucks that my lifeer BICY fox squirrel was DOR ): Big Cypress Fox Squirrel (Sciurus niger avicennia) observed at Florida, US.",fox squirrel; Fox Squirrel; Sciurus niger,observed,Big Cypress,,,
199646885_0,199646885,West Indian Manatee,"Flamingo Backcountry Boat Tour West Indian Manatee (Trichechus manatus) observed at Everglades National Park, Monroe County, US-FL, US.",Trichechus manatus; West Indian Manatee,observed,Everglades; Park,,,
200860744_0,200860744,West Indian Manatee,"Seems like they are leaving the estuary, heading back out to the Gulf West Indian Manatee (Trichechus manatus) observed at Florida, US.",Trichechus manatus; West Indian Manatee,observed,estuary; Gulf,,,
240078443_0,240078443,Common Bottlenose Dolphin,"Lone (?) dolphin right at the pier Common Bottlenose Dolphin (Tursiops truncatus) observed at North Atlantic Ocean, Clearwater, FL, US.",Common Bottlenose Dolphin; dolphin; Tursiops truncatus,observed,Ocean,,,
159032267_0,159032267,Marsh Rabbit,"- Photo taken alongside Lee Road - City Nature Challenge 2023, South Florida Marsh Rabbit (Sylvilagus palustris) observed at Arthur R.",Marsh Rabbit; Sylvilagus palustris,observed,Road,,,
209084293_0,209084293,West Indian Manatee,"Mother baby and another adult West Indian Manatee (Trichechus manatus) observed at Everglades National Park, Monroe County, US-FL, US.",Trichechus manatus; West Indian Manatee,observed,Everglades; Park,,,
242306608_0,242306608,Florida Manatee,"photo by Jon McIntyre Florida Manatee (Trichechus manatus latirostris) observed at Everglades National Park, Monroe County, US-FL, US.",Florida Manatee; Trichechus manatus latirostris,observed,Everglades; Park,,,
